52604 -0.2615687
52605 -0.2622098
52606 -0.2631389
52607 -0.2642232
52608 -0.2655355
52609 -0.2669793
52610 -0.2683821
52611 -0.2695635
52612 -0.2704541
52613 -0.2710363
52614 -0.2714551
52615 -0.2717337
52616 -0.2721047
52617 -0.2726427
52618 -0.2733457
52619 -0.2742072
52620 -0.2751749
52621 -0.2762173
52622 -0.2772818
52623 -0.2782956
52624 -0.2791725
52625 -0.2798802
52626 -0.2804277
52627 -0.2808132
52628 -0.2810497
52629 -0.2812186
52630 -0.2813868
52631 -0.2816346
52632 -0.2820733
52633 -0.2827843
52634 -0.2837568
52635 -0.2848979
52636 -0.2860882
52637 -0.2872116
52638 -0.2881743
52639 -0.2889151
52640 -0.2894287
52641 -0.2898126
52642 -0.2901318
52643 -0.2904331
52644 -0.2908262
52645 -0.2913515
52646 -0.2920373
52647 -0.2928525
52648 -0.2937316
52649 -0.2946492
52650 -0.2955513
52651 -0.2964399
52652 -0.2972512
52653 -0.2979180
52654 -0.2984074
52655 -0.2987500
52656 -0.2990056
52657 -0.2992089
52658 -0.2994894
52659 -0.2999080
52660 -0.3004718
52661 -0.3011676
52662 -0.3019823
52663 -0.3028645
52664 -0.3037562
52665 -0.3045280
52666 -0.3050671
52667 -0.3053396
52668 -0.3054093
52669 -0.3054054
52670 -0.3053757
52671 -0.3053502
52672 -0.3054433
52673 -0.3057179
52674 -0.3062008
52675 -0.3068605
52676 -0.3076443
52677 -0.3084387
52678 -0.3091451
52679 -0.3097457
52680 -0.3102253
52681 -0.3105869
52682 -0.3108604
52683 -0.3111015
52684 -0.3113783
52685 -0.3117681
52686 -0.3122577
52687 -0.3129103
52688 -0.3138081
52689 -0.3149376
52690 -0.3161848
52691 -0.3174286
52692 -0.3185308
52693 -0.3193838
52694 -0.3199706
52695 -0.3203541
52696 -0.3206223
52697 -0.3208420
52698 -0.3210634
52699 -0.3213501
52700 -0.3217497
52701 -0.3222855
52702 -0.3229238
52703 -0.3236119
52704 -0.3243034
52705 -0.3249936
52706 -0.3256620
52707 -0.3262582
52708 -0.3267427
52709 -0.3271221
52710 -0.3274404
52711 -0.3277564
52712 -0.3281279
52713 -0.3286603
52714 -0.3294072
52715 -0.3304173
52716 -0.3317122
52717 -0.3332232
52718 -0.3347622
52719 -0.3361657
52720 -0.3373173
52721 -0.3381523
52722 -0.3386827
52723 -0.3390040
52724 -0.3392528
52725 -0.3395369
52726 -0.3399353
52727 -0.3404885
52728 -0.3411974
52729 -0.3420265
52730 -0.3429325
52731 -0.3438916
52732 -0.3448670
52733 -0.3457856
52734 -0.3466289
52735 -0.3473374
52736 -0.3479070
52737 -0.3483551
52738 -0.3487223
52739 -0.3490276
52740 -0.3494130
52741 -0.3499621
52742 -0.3507860
52743 -0.3518901
52744 -0.3532397
52745 -0.3547193
52746 -0.3561399
52747 -0.3572891
52748 -0.3581695
52749 -0.3586766
52750 -0.3588744
52751 -0.3588996
52752 -0.3589226
52753 -0.3590311
52754 -0.3592844
52755 -0.3597319
52756 -0.3603059
52757 -0.3609676
52758 -0.3616855
52759 -0.3624146
52760 -0.3631121
52761 -0.3636521
52762 -0.3639650
52763 -0.3640792
52764 -0.3640709
52765 -0.3640152
52766 -0.3639410
52767 -0.3638467
52768 -0.3639255
52769 -0.3641874
